Sample_Index,True_Class,Severity_Euclidean,Severity_SVD,Severity_Category
0,Target_Spot,59.19726471262159,52.572782050245436,Moderate
1,Target_Spot,37.995545003898705,27.6799311895639,Mild
2,Target_Spot,60.26399209710747,55.329581049460344,Moderate
3,Septoria_Leaf_Spot,38.97891380804302,30.54408101549675,Mild
4,Target_Spot,63.74331893304011,69.74319943915586,Severe
5,Late_Blight,11.498137416456968,6.149253870764476,Mild
6,Spider_Mites,43.003911620708585,20.03599799611652,Mild
7,Leaf_Mold,50.69659096301644,68.3249282160791,Severe
8,Septoria_Leaf_Spot,85.17910550607212,78.40693475256708,Severe
9,Early_Blight,13.891065823789992,33.11638498666863,Moderate
10,Septoria_Leaf_Spot,62.13023258729441,44.752747235394956,Moderate
11,Target_Spot,17.464699100071975,16.773844174512025,Mild
12,Yellow_Leaf_Curl_Virus,48.753734962300186,38.95314514915418,Moderate
13,Septoria_Leaf_Spot,38.7376143715434,39.23279235798678,Moderate
14,Healthy,4.600829866137772,18.99029973129559,N/A (Healthy)
15,Bacterial_Spot,26.254024484390094,10.641272761821474,Mild
16,Late_Blight,9.269869106494367,11.962047061915026,Mild
17,Healthy,6.0420814869758654,11.337195681482076,N/A (Healthy)
18,Target_Spot,51.92931633837794,38.4879736928509,Moderate
19,Healthy,15.539254933111089,31.319191189482865,N/A (Healthy)
20,Target_Spot,71.22662464688864,65.84084456964545,Moderate
21,Spider_Mites,61.33165290108899,43.24200952390549,Moderate
22,Early_Blight,54.77869138264083,45.10394965873119,Moderate
23,Septoria_Leaf_Spot,67.91423360605717,49.68512618182949,Moderate
24,Spider_Mites,18.209453983017994,19.40275628036913,Mild
25,Septoria_Leaf_Spot,68.62241012625744,58.80555209053705,Moderate
26,Healthy,21.37490831492964,38.11724188837495,N/A (Healthy)
27,Septoria_Leaf_Spot,54.79459558598081,52.91306870710579,Moderate
28,Healthy,18.580374182702503,36.136234675338756,N/A (Healthy)
29,Early_Blight,19.69231263995608,27.23163875157028,Mild
30,Healthy,19.555125115168885,15.096028602442708,N/A (Healthy)
31,Target_Spot,16.027952799016315,15.941267067713415,Mild
32,Target_Spot,10.015944561957301,24.451072876331533,Mild
33,Septoria_Leaf_Spot,61.12029059674481,49.10394333330895,Moderate
34,Leaf_Mold,46.93080844742942,39.623446297074935,Moderate
35,Leaf_Mold,44.100284915554894,36.49746183492376,Moderate
36,Target_Spot,58.08200957532963,45.87035479679903,Moderate
37,Septoria_Leaf_Spot,66.85846327397816,62.23911108585357,Moderate
38,Leaf_Mold,40.860173384575575,22.001019723230936,Mild
39,Septoria_Leaf_Spot,54.04925596513731,25.001166419724,Mild
40,Bacterial_Spot,27.370234735458677,20.294395087812088,Mild
41,Target_Spot,87.3135558486686,79.54783823280746,Severe
42,Early_Blight,5.584944100438471,5.321966820963631,Mild
43,Target_Spot,84.9851992940334,89.53043612404574,Severe
44,Target_Spot,32.04759678679641,19.87901406532652,Mild
45,Healthy,3.830229554258309,17.475228300585044,N/A (Healthy)
46,Healthy,2.5628598896175805,13.646305013380053,N/A (Healthy)
47,Septoria_Leaf_Spot,35.902191702713274,20.65698626690128,Mild
48,Septoria_Leaf_Spot,68.09867637060707,49.90564446756855,Moderate
49,Target_Spot,36.78497338392586,15.565889496671243,Mild
50,Target_Spot,59.296833104489785,53.17810087588203,Moderate
51,Late_Blight,61.63739441203815,67.03436666703494,Severe
52,Spider_Mites,19.520745979367884,26.819994975733447,Mild
53,Leaf_Mold,40.33795357372144,28.611586521666254,Mild
54,Early_Blight,18.56529482528154,26.92190165199133,Mild
55,Target_Spot,82.57828854358652,85.90313821441384,Severe
56,Bacterial_Spot,47.02253872256872,30.78542046396109,Mild
57,Healthy,24.38517745088807,27.58027703385807,N/A (Healthy)
58,Target_Spot,31.429186067163634,23.30222968509584,Mild
59,Target_Spot,8.601461584810457,13.418962668246778,Mild
60,Early_Blight,17.715936774321325,23.588081055542894,Mild
61,Healthy,11.269370666494186,15.803888199529379,N/A (Healthy)
62,Spider_Mites,50.67486383670825,34.030458657291895,Moderate
63,Target_Spot,28.177947204572725,28.315894761268158,Mild
64,Leaf_Mold,15.766916754839627,29.566621905460842,Mild
65,Early_Blight,14.821394805801486,6.728089183755992,Mild
66,Bacterial_Spot,24.984343713031038,19.46423363424718,Mild
67,Healthy,1.9710856556093639,12.991859750130413,N/A (Healthy)
68,Target_Spot,44.823050620263835,23.695838480356375,Mild
69,Early_Blight,36.580203245786194,50.35308909121519,Moderate
70,Healthy,9.850588485321035,18.768506664095135,N/A (Healthy)
71,Septoria_Leaf_Spot,65.5241378370594,44.51732174541381,Moderate
72,Spider_Mites,55.33716090002228,39.928361333554776,Moderate
73,Target_Spot,49.2744354867896,26.03459273331483,Mild
74,Target_Spot,61.777228623310776,57.56870153541712,Moderate
75,Leaf_Mold,47.18394153191973,37.72022044958749,Moderate
76,Spider_Mites,54.49720343641016,27.873257031525654,Mild
77,Late_Blight,86.42711442218986,84.33743046490855,Severe
78,Spider_Mites,26.69439177538794,32.33845205472777,Mild
79,Leaf_Mold,37.9378907486053,41.437288558470065,Moderate
80,Leaf_Mold,37.47626281365435,35.90429850712512,Moderate
81,Leaf_Mold,25.99483229248109,15.980189140288163,Mild
82,Healthy,21.155059143106424,32.54646063708859,N/A (Healthy)
83,Septoria_Leaf_Spot,64.42430677030448,38.60357236803344,Moderate
84,Septoria_Leaf_Spot,83.80296370193768,71.4488561576178,Severe
85,Septoria_Leaf_Spot,50.69451715847579,44.424914691861275,Moderate
86,Target_Spot,69.24953042612131,66.07278792409458,Severe
87,Spider_Mites,64.37281905211051,20.792593403929992,Mild
88,Bacterial_Spot,26.846174785517363,12.011941152961182,Mild
89,Target_Spot,20.996168659893282,13.915892272185431,Mild
90,Healthy,0.8210377450607976,14.374930228583422,N/A (Healthy)
91,Target_Spot,65.25190249093248,60.64436647915865,Moderate
92,Target_Spot,47.80081016803573,42.623787781103566,Moderate
93,Spider_Mites,46.87649628358776,42.11895896160965,Moderate
94,Target_Spot,15.482830330159134,22.24599916649886,Mild
95,Leaf_Mold,37.008628346796996,21.461032565642167,Mild
96,Target_Spot,57.892319045374386,56.0426261468387,Moderate
97,Septoria_Leaf_Spot,37.007942491940966,36.83847673312439,Moderate
98,Target_Spot,45.954133767280084,37.81003456345095,Moderate
99,Healthy,24.02622787829167,29.416217302685816,N/A (Healthy)
100,Bacterial_Spot,38.560708271260886,15.732680499570021,Mild
101,Leaf_Mold,65.80451336130922,75.90991744086037,Severe
102,Healthy,3.9298486450561256,20.63353252576834,N/A (Healthy)
103,Spider_Mites,34.36662172923789,0.0,Mild
104,Early_Blight,24.175019972993205,47.4378660615553,Moderate
105,Leaf_Mold,34.291380244813126,31.85461663817593,Mild
106,Leaf_Mold,52.0734850311001,34.53993512420935,Moderate
107,Target_Spot,56.03878370224744,51.89344177416526,Moderate
